"","DocId","category","Date","Title","Source","Before","Matched","After","Year","Text"
"1","1371085747","Feature, Article","19210423","Rotary Club Activities","The North China Herald","","Rotary Club","Activities                 At the weekly rotary Club tiffin on Thursday Mr- Cecil Holliday de livered an interesting talk on Civic Affairs Mr Holliday has been resident of Shanghai for 44 years Follo",1921," Rotary Club Activities                 At the weekly rotary Club tiffin on Thursday Mr- Cecil Holliday de livered an interesting talk on Civic Affairs Mr Holliday has been resident of Shanghai for 44 years Follo"
"2","1371085747","Feature, Article","19210423","Rotary Club Activities","The North China Herald","Rotary Club Activities                 At the weekly","rotary Club","tiffin on Thursday Mr- Cecil Holliday de livered an interesting talk on Civic Affairs Mr Holliday has been resident of Shanghai for 44 years Following his talk Hon Cunningham the American Consul-Gene",1921,"Rotary Club Activities                 At the weekly rotary Club tiffin on Thursday Mr- Cecil Holliday de livered an interesting talk on Civic Affairs Mr Holliday has been resident of Shanghai for 44 years Following his talk Hon Cunningham the American Consul-Gene"
"3","1371085747","Feature, Article","19210423","Rotary Club Activities","The North China Herald","e livered an interesting talk on Civic Affairs Mr Holliday has been resident of Shanghai for 44 years Following his talk Hon Cunningham the American Consul-General spoke Mr Hi Norman president of the","Rotary Club","appointed committee on Civic Affairs composed of Mr Doremus chairman WV Fleming Dr Wang Dr Parsons and Mr de Vault the committee to make plans for Civic League The Rotary Club also announced gift of",1921,"e livered an interesting talk on Civic Affairs Mr Holliday has been resident of Shanghai for 44 years Following his talk Hon Cunningham the American Consul-General spoke Mr Hi Norman president of the Rotary Club appointed committee on Civic Affairs composed of Mr Doremus chairman WV Fleming Dr Wang Dr Parsons and Mr de Vault the committee to make plans for Civic League The Rotary Club also announced gift of"
"4","1371085747","Feature, Article","19210423","Rotary Club Activities","The North China Herald","Norman president of the Rotary Club appointed committee on Civic Affairs composed of Mr Doremus chairman WV Fleming Dr Wang Dr Parsons and Mr de Vault the committee to make plans for Civic League The","Rotary Club","also announced gift of 225 to be given for the aid of the Woyport rooms which are to serve as hostel for American and European sailors These rooms are on 148k. Boone Road and are being established by",1921,"Norman president of the Rotary Club appointed committee on Civic Affairs composed of Mr Doremus chairman WV Fleming Dr Wang Dr Parsons and Mr de Vault the committee to make plans for Civic League The Rotary Club also announced gift of 225 to be given for the aid of the Woyport rooms which are to serve as hostel for American and European sailors These rooms are on 148k. Boone Road and are being established by"
"5","1371085747","Feature, Article","19210423","Rotary Club Activities","The North China Herald","","Rotary Club","Activities",1921," Rotary Club Activities"
"6","1420025538","Feature, Article","19300624","SHANGHAI ROTARY CLUB","The North China Herald","SHANGHAI","ROTARY CLUB","Unique Presentations from China to Other Clubs                 meeting of the Shanghai Rotary Club in the Union Club on June 18, was attended by about 100 members and guests Mr Fitch",1930,"SHANGHAI ROTARY CLUB Unique Presentations from China to Other Clubs                 meeting of the Shanghai Rotary Club in the Union Club on June 18, was attended by about 100 members and guests Mr Fitch"
"7","1420025538","Feature, Article","19300624","SHANGHAI ROTARY CLUB","The North China Herald","SHANGHAI ROTARY CLUB                 Unique Presentations from China to Other Clubs                 meeting of the Shanghai","Rotary Club","in the Union Club on June 18, was attended by about 100 members and guests Mr Fitch the president was in lhe chair and after- the usual songs introduced Mrs Ilawkings who spoke on Rotary Tubs and Con",1930,"SHANGHAI ROTARY CLUB                 Unique Presentations from China to Other Clubs                 meeting of the Shanghai Rotary Club in the Union Club on June 18, was attended by about 100 members and guests Mr Fitch the president was in lhe chair and after- the usual songs introduced Mrs Ilawkings who spoke on Rotary Tubs and Con"
"8","1420025538","Feature, Article","19300624","SHANGHAI ROTARY CLUB","The North China Herald","View Mrs Ilawkings described her ex periences during recent visit to Europe and Australia when she attended Rotary meetings at Brad ford Bristol and Sydney At the former place she presented the local","Rotary Club","with drum replica of that used by Mr Fitch to call meetings to order brick from the wall of China obtained without any act of vandalism was also presented to the Bristol Rotary The third Pacific Rota",1930,"View Mrs Ilawkings described her ex periences during recent visit to Europe and Australia when she attended Rotary meetings at Brad ford Bristol and Sydney At the former place she presented the local Rotary Club with drum replica of that used by Mr Fitch to call meetings to order brick from the wall of China obtained without any act of vandalism was also presented to the Bristol Rotary The third Pacific Rota"
"9","1420025538","Feature, Article","19300624","SHANGHAI ROTARY CLUB","The North China Herald","SHANGHAI","ROTARY CLUB","",1930,"SHANGHAI ROTARY CLUB "
"10","1371397899","Feature, Article","19280407","SHANGHAI ROTARY CLUB","The North China Herald","SHANGHAI","ROTARY CLUB","At the annual general meeting of the Rotary Club held last Thurs day officers were elected and the report and accounts adopted Mr Jee the retiring president                 presided b",1928,"SHANGHAI ROTARY CLUB At the annual general meeting of the Rotary Club held last Thurs day officers were elected and the report and accounts adopted Mr Jee the retiring president                 presided b"
"11","1371397899","Feature, Article","19280407","SHANGHAI ROTARY CLUB","The North China Herald","SHANGHAI ROTARY CLUB                 At the annual general meeting of the","Rotary Club","held last Thurs day officers were elected and the report and accounts adopted Mr Jee the retiring president                 presided being supported by tho outgoing board of directors and representat",1928,"SHANGHAI ROTARY CLUB                 At the annual general meeting of the Rotary Club held last Thurs day officers were elected and the report and accounts adopted Mr Jee the retiring president                 presided being supported by tho outgoing board of directors and representat"
"12","1371397899","Feature, Article","19280407","SHANGHAI ROTARY CLUB","The North China Herald","SHANGHAI","ROTARY CLUB","",1928,"SHANGHAI ROTARY CLUB "
"13","1371084871","Feature, Article","19210402","The Rotary Club","The North China Herald","The","Rotary Club","The Rotary Club met on Thursday for their weekly tiffin at the Astor House The meeting was closed one as Board of Directors was elected for the coming year gift of cigarette case was",1921,"The Rotary Club The Rotary Club met on Thursday for their weekly tiffin at the Astor House The meeting was closed one as Board of Directors was elected for the coming year gift of cigarette case was"
"14","1371084871","Feature, Article","19210402","The Rotary Club","The North China Herald","The Rotary Club                 The","Rotary Club","met on Thursday for their weekly tiffin at the Astor House The meeting was closed one as Board of Directors was elected for the coming year gift of cigarette case was made to Mr Earl Currens the pian",1921,"The Rotary Club                 The Rotary Club met on Thursday for their weekly tiffin at the Astor House The meeting was closed one as Board of Directors was elected for the coming year gift of cigarette case was made to Mr Earl Currens the pian"
"15","1371084871","Feature, Article","19210402","The Rotary Club","The North China Herald","The","Rotary Club","",1921,"The Rotary Club "
"16","1369957810","Feature, Article","19240419","ROTARY CLUB TIFFIN","The North China Herald","","ROTARY CLUB","TIFFIN                 At the weekly tiffin tihe Shanghai Rotary Club' hold on the 9th instant at t hie Astor House Hotel Mr Percy Fowler manag ing director of Messrs Brunner Moijd China Co Ld spoke",1924," ROTARY CLUB TIFFIN                 At the weekly tiffin tihe Shanghai Rotary Club' hold on the 9th instant at t hie Astor House Hotel Mr Percy Fowler manag ing director of Messrs Brunner Moijd China Co Ld spoke"
"17","1369957810","Feature, Article","19240419","ROTARY CLUB TIFFIN","The North China Herald","ROTARY CLUB TIFFIN                 At the weekly tiffin tihe Shanghai","Rotary Club","' hold on the 9th instant at t hie Astor House Hotel Mr Percy Fowler manag ing director of Messrs Brunner Moijd China Co Ld spoke of his recollections of European Tid American Rotary Clubs Mr Britton",1924,"ROTARY CLUB TIFFIN                 At the weekly tiffin tihe Shanghai Rotary Club ' hold on the 9th instant at t hie Astor House Hotel Mr Percy Fowler manag ing director of Messrs Brunner Moijd China Co Ld spoke of his recollections of European Tid American Rotary Clubs Mr Britton"
"18","1369957810","Feature, Article","19240419","ROTARY CLUB TIFFIN","The North China Herald","","ROTARY CLUB","TIFFIN",1924," ROTARY CLUB TIFFIN"
"19","1418937553","Feature, Article","19300218","ROTARY CLUB FESTIVITY","The North China Herald","","ROTARY CLUB","FESTIVITY                 The annual international dinner and dance of the Shanghai Rotary Club was held on February 14 at the Majestic Hotel with over 400 present including 35 Rotarians from the wor",1930," ROTARY CLUB FESTIVITY                 The annual international dinner and dance of the Shanghai Rotary Club was held on February 14 at the Majestic Hotel with over 400 present including 35 Rotarians from the wor"
"20","1418937553","Feature, Article","19300218","ROTARY CLUB FESTIVITY","The North China Herald","ROTARY CLUB FESTIVITY                 The annual international dinner and dance of the Shanghai","Rotary Club","was held on February 14 at the Majestic Hotel with over 400 present including 35 Rotarians from the world-cruising Belgenland These tourists were given an                 enthusiastic welcome by the",1930,"ROTARY CLUB FESTIVITY                 The annual international dinner and dance of the Shanghai Rotary Club was held on February 14 at the Majestic Hotel with over 400 present including 35 Rotarians from the world-cruising Belgenland These tourists were given an                 enthusiastic welcome by the"
"21","1418937553","Feature, Article","19300218","ROTARY CLUB FESTIVITY","The North China Herald","nce Italy Austria Germany Great Britain United States and among many others Dr and Mrs Wang and Mr and Mrs Arnhold Altogether it was most success ful and pleasant evening for whicht the guests of the","Rotary Club","thank their kind hosts warmly",1930,"nce Italy Austria Germany Great Britain United States and among many others Dr and Mrs Wang and Mr and Mrs Arnhold Altogether it was most success ful and pleasant evening for whicht the guests of the Rotary Club thank their kind hosts warmly"
"22","1418937553","Feature, Article","19300218","ROTARY CLUB FESTIVITY","The North China Herald","","ROTARY CLUB","FESTIVITY",1930," ROTARY CLUB FESTIVITY"
"23","1324776292","Image/Photograph","19250308","ROTARY CLUB LEADERS CONFER","The China Press","","ROTARY CLUB","LEADERS CONFER                 Thomas Uarber of London England one of the founders oi Rotary Clubs is shown in with Dr Gilbert Palen president of the Rotary Club of Philadelphia Dr Barbor had Just ad",1925," ROTARY CLUB LEADERS CONFER                 Thomas Uarber of London England one of the founders oi Rotary Clubs is shown in with Dr Gilbert Palen president of the Rotary Club of Philadelphia Dr Barbor had Just ad"
"24","1324776292","Image/Photograph","19250308","ROTARY CLUB LEADERS CONFER","The China Press","ROTARY CLUB LEADERS CONFER                 Thomas Uarber of London England one of the founders oi Rotary Clubs is shown in with Dr Gilbert Palen president of the","Rotary Club","of Philadelphia Dr Barbor had Just addressed the Philadelphia Rotarlans Ho was member of the executive committee that had charge of the recent International Rotary Convention In Scot land",1925,"ROTARY CLUB LEADERS CONFER                 Thomas Uarber of London England one of the founders oi Rotary Clubs is shown in with Dr Gilbert Palen president of the Rotary Club of Philadelphia Dr Barbor had Just addressed the Philadelphia Rotarlans Ho was member of the executive committee that had charge of the recent International Rotary Convention In Scot land"
"25","1324776292","Image/Photograph","19250308","ROTARY CLUB LEADERS CONFER","The China Press","","ROTARY CLUB","LEADERS CONFER",1925," ROTARY CLUB LEADERS CONFER"
"26","1371579204","Feature, Article","19331214","Rotary Club Sponsors Ball","The China Press","","Rotary Club","Sponsors Ball                 The outstanding social event of hc week will be the benefit ball the Shanghai Rotary Club giving tonight at the French Club In addition to the interesting pro gram plann",1933," Rotary Club Sponsors Ball                 The outstanding social event of hc week will be the benefit ball the Shanghai Rotary Club giving tonight at the French Club In addition to the interesting pro gram plann"
"27","1371579204","Feature, Article","19331214","Rotary Club Sponsors Ball","The China Press","Rotary Club Sponsors Ball                 The outstanding social event of hc week will be the benefit ball the Shanghai","Rotary Club","giving tonight at the French Club In addition to the interesting pro gram planned for the evening four voting Shanghai debutantes will be presented They are Miss Rita Gimn Miss Aileen Akerman Miss",1933,"Rotary Club Sponsors Ball                 The outstanding social event of hc week will be the benefit ball the Shanghai Rotary Club giving tonight at the French Club In addition to the interesting pro gram planned for the evening four voting Shanghai debutantes will be presented They are Miss Rita Gimn Miss Aileen Akerman Miss"
"28","1371579204","Feature, Article","19331214","Rotary Club Sponsors Ball","The China Press","","Rotary Club","Sponsors Ball",1933," Rotary Club Sponsors Ball"
"29","1369534675","Feature, Article","19231013","THE ROTARY CLUB","The North China Herald","THE","ROTARY CLUB","An interesting meeting of the Rotary Club was held on Thursday at the Astor House when curios and publicity were the subjects under discussion Mr Mason in his address spoke of the Can",1923,"THE ROTARY CLUB An interesting meeting of the Rotary Club was held on Thursday at the Astor House when curios and publicity were the subjects under discussion Mr Mason in his address spoke of the Can"
