"","DocId","Date","Year","Source","category","Title","Text"
"1","1316948201","19241108",1924,"The China Weekly Review","Feature, Article","Men and Events","t financial editor later advertising manager and subsequently business manager of the China Press Mr Norman was prominent in Shanghai club circles having done much towards the success of the Shanghai Rotary Club and having founded the St Joseph's Catholic Association"
"2","1317048632","19250305",1925,"The China Press","Feature, Article","Mews Brevities","ally Kulin iM give synopsis on Current Events How lo make Shanghai first clays port ii 1 bo the subject of discussion to bo led by Dr Cummings and RTr Frank Gauge at the weekly meeting of he Shanghai Rotary Club to be held at- the Astor House this afternoon at 12:30 o  ts Dr Wang newly appoint ed Tnpan of Sino-Russian Affairs left here last night for Poking Ho will stop in Nanking on bis way for few days to"
"3","1319838748","19191011",1919,"The China Weekly Review","Feature, Article","Men and Events","hen such is felt to be desirable in the interests of public welfare farewell tiffin in honor of Thomas Sam- mons the departing American Consul-General of Shanghai was held at the Cale Parisien by the Rotary Club of Shanghai on Thursday October 9. Doremus representing the club gave the Rotarian Sammons Siffert Belgian Consul-General re sponded for the Shanghai consular body Mr Sam                 mons gave sh mons Siffert Belgian Consul-General re sponded for the Shanghai consular body Mr Sam                 mons gave short talk expressing his regret 011 leav ing the city In addition to the members of the Rotary Club the consul- of the various nations Yang Tang Chinese Commissioner for Foreign Affairs and American business men to the number of approx imately roo attended the tiffin Chang'Chi former speaker of the"
"4","1319842228","19211112",1921,"The China Weekly Review","Feature, Article","Y. C. Tong Dies","d with the bank was very active in public life both in the foreign and Chinese communities He was member and officer of the American University Club the Chinese Chamber of Commerce The Union Club The Rotary Club the Canton Guild lie was on the consultative board of the Whangjpoo Conservancy the committee of the Harvard and German Medical School the Red Cross Hospital International Institute theWorld s Chines"
"5","1319843498","19191115",1919,"The China Weekly Review","Feature, Article","Chinese Women Interested in Social Service Work in China","r The American Club George Fitch American University Club Capt Shapitigh Navy Everett Postal Agent Sterling Fesscnden American Bar Association Fleming Goldsmith American Association of China Dr Petit Rotary Club Dr Ransom American Company and Health Officer Nichols American Red Cross Webb and Doyle The China Press- Hager Advertising Club of China Barnes Moss Advisor fo the Com missioner of Foreign Affairs"
"6","1319843662","19200724",1920,"The China Weekly Review","Feature, Article","Opium Smuggler Imposes Upon Chinese Aviation Students","ity of California Glee Ciub who were also guests of honor The Glee Club sang 1 several songs and gave their college yells Dr Willoughby was also speaker of the day at the weekly tiffin meeting of the Rotary Club of Shanghai at the Carlton on Thursdav Juiv 22."
"7","1319845748","19220204",1922,"The China Weekly Review","Editorial, Commentary","Editorial Article 3 -- No Title","with regard to the Conference and the accusations that the Chinese delegation lacked leadership and were weak in the face of opportunities as Payson Treat of Stan ford University speaking before the Rotary Club of Shanghai recently declared leaves nine-tenths unsaid The nine-tenths is the condition of China herself and the shifting and changing attitudes of her people and her various governments It is being"
"8","1319847016","19240614",1924,"The China Weekly Review","Feature, Article","Men and Events","leave Mr Service has valuable collection Tibetan curios and has given several lectures on Tibet while in Shanghai awaiting transportation Transportation was the subject of discussion at the Shanghai Rotary club tiffin on June 12, Fairman speak ing on Motor Transportation Han on Express Trans portation Perkes on Steamship Transportation and Henderson on Railway Transportation Captain Eisler special represent"
"9","1319849297","19210730",1921,"The China Weekly Review","Feature, Article","Men and Events","o China and will arrive in October to officially assume his station at Peking Dr Boye was formerly in the consular service in Japan and China                 At the celebration of the birthday of the Rotary Club last Thursday July 22, the announcement was made that an annual scholarship paying 500 at the Shanghai American School would be made by the Shanghai Rotary Club Each member will make con tribution of the celebration of the birthday of the Rotary Club last Thursday July 22, the announcement was made that an annual scholarship paying 500 at the Shanghai American School would be made by the Shanghai Rotary Club Each member will make con tribution of Me'x and the deficit will be made by an assessment later The examinations will be made by Baftlett principal of the school whereby the candidate will be selecte"
"10","1319851218","19231006",1923,"The China Weekly Review","Feature, Article","Texas Company Secures Big Contract","mounting to about 1,000,000 gallons Coloael Miller Addressed Rota nans at Tiffin Colonel Miller intelligence officer attached to Admiral Anderson's staff American Asiatic Fleet addressed the Shanghai Rotary Club at its weekly tiffin-meeting October 4 at 12:15 o clock at the Astor House The meeting was open members and their friends"
