"","DocId","Source","Title","Text","text.seg","nchar","ntoken","Date","year","decade","period"
"1","SPSP192211171601","shunpao","大英牌最盛行之香烟永泰和烟草股份有限公司總理本埠新聞三牡雅廠將遷入新屋開幕　　英商牡雅香料廠創設已有數年聘有法京名廠技師選運佳料精製各種化妝香品現因營業擴充原有房屋不敷已遷移至北浙江路八百二十號照常營業定於十一月十九日行遷移開幕禮云科發藥房發行公司債　　南京路科發大藥房成立已五十餘年茲因擴充製藥廠由該藥房董事會議决發行公司債劵一百萬元並由本埠銀行界如中國·交通·勸工·懋業等公開會議與會各行長詳細審查該藥房内容後對於該公司辦法甚爲滿意極贊成該藥房發行公司債之舉並允代爲募集債券聞昨日已發行實業界購該債劵者甚爲踴躍云冬季衣帽之調查種種　　獺絨帽貂帽大衣呢駱駝絨山東路二一八號冠華帽莊有上等獺絨帽等出售每頂二十六元並有三十元者南京路石路口之公平帽莊則需二十四元冠華帽莊之冲貂帽僅爲每頂六元公平帽莊之眞貂帽每頂四十餘元其冲貂帽有値九元者其最廉者爲三元五六角南京路老九章隔壁之大源成絨號有全毛大衣呢每尺一元三角鼻烟色呢每尺八角南京路山東路角之興昌祥絨號灰色單呢每尺五角方格子呢每尺九角漢口路上海旅館隔壁之上海公司單幅駱駝絨每尺一元南京路大源成絨號之駱駝絨有每尺一元二角者有每尺九角半者南京路英明照相館對過之南方公司駱駝絨每尺九角並有每尺八角半者云昨日之菜市　　魚類南北市均稍貴昨日法租界菜市街小菜場各菜與前日相仿惟魚類稍貴價如次湖葱每斤一百二十文薺菜每斤八十文蒿菜每斤六十文鮮龍頭魚每兩三十文鹹香瓜每兩三十五文白菜每斤一百二十文菠菜每斤六十文芹菜每把三十文豆芽每斤六十文蝦每斤三角鮮蟹每兩四十文鹹蟹每兩四十文白魚每兩二十五文小黃魚每兩二十五文大黃魚每兩二十文青魚每兩三十文鹹蛋每只四十五文鴨蛋每只三十文鷄蛋每只三十五文河鰻每兩三十文海鰻每兩二十五文大豆菜每斤一百文雄鷄每斤三角雌鷄每斤三角六分鴨每只八角五分鴿子每只二角五分甲魚每兩二十五文鯽魚每兩三十五文牛肉每斤二角四分羊肉每斤洋二角八分猪肉每洋三斤四兩蛤蜊每斤二百四十文蘿蔔每斤六十文冬笋每斤二角四分萵苣笋每把四十文蚶子每斤二百四十文鮮帶魚每兩三十文烏賊魚每兩四十文青菜每斤五十文鹹帶魚每兩三十文葱每斤一百二十文大蒜每斤一百二十文又昨日南市葷蔬菜市較前日無甚進出惟小黃魚較前日略貴其各價如下銅盆魚每兩二十文蘿蔔每斤五十文花青魚每兩二十五文萵苣笋每把三十文冬笋每兩二十五文鮮龍頭魚每兩十六文毛蚶每斤六十文汕頭蚶子每斤二百四十文青菜每斤四十文大黃魚每兩二十文小黃魚每兩二十二文芹菜每把三十文鴨蛋每只三十五文鷄蛋每只三十文白魚每兩十一文青魚每兩二十五文菠菜每斤五十文蒿菜每斤五十文河蝦每兩三十文甲魚每兩三十文鹹蝦大者每兩五十五文小者每兩三十五文搶蟹每兩三十文鮮蟹每兩二十至三十五文鹹蟹每兩二十五文薺菜每斤八十文大豆菜每斤七十文猪肉每洋三斤半羊肉每洋五斤鮮帶魚每兩三十文鹹帶魚每兩二十五文雄雞每洋四斤雌鷄每洋三斤半鴨每只七角至九角天津菜每斤一百文大蒜每斤八十文湖葱每斤一百文海鰻每兩二十五文墨魚每兩三十文鵝每洋五斤草頭每斤七十文鯽魚每兩四十文鹹蛋每只三十五文菜每斤五十文鮮鮝魚每兩二十五文鹹鮝魚每兩二十文牛肉每斤二角鴿每只二角閘北又一加租聲　　烏鎭路華新坊閘北寳山路義品里之加租風潮已誌本報茲聞烏鎭路華新坊之房客近因該坊經租賬房百般威嚇力欲加租特由該坊房客聯合會籌備抵制方法又於昨晚開會議决如照原數收租均仍照付如果苛收擬俟廳署解决云記英國干史女士之雕藝會　　展覽於九江路英國婦女會今明兩日繼續展覽英國干史女士","家二十八日上午九時至十時半參觀各工廠十一時至十二時開演講會列席者聖約翰大學學生十二時半開交誼會列席者扶輪社社員下午四時開討論會於崑山路女青年會列席者即爲該會之幹事六時三刻至八時開演講會列席者南洋大學學生二十","家 二十八日 上午 九時 至 十時 半 參觀 各 工廠 十一時 至 十二時 開 演講會 列席 者 聖約翰 大學 學生 十二時 半開 交誼會 列席 者 扶輪社 社員 下午 四時 開 討論會 於 崑山 路 女青年會 列席 者 即 爲 該會 之 幹事 六時 三刻 至 八時 開 演講會 列席 者 南洋 大學 學生 二十",103,61,"19221117",1922,"1920","1919-1929"
"2","SPSP192211171701","shunpao","中華勸工銀行ＣhineselndustrialBankLtd電報掛號六九七七刊有詳細章程函索即寄營業要目●商業各種存欵　各種放款　各種滙欵　●儲蓄定期儲蓄　活期儲蓄　特别儲蓄電話中央六七一一　六七一二備有儲蓄盒任存户借用行址上海南京路Ｐ字十六號上海銀行本行專營商業銀行一切業務并辦理國外滙兌及各種儲蓄存欵如荷　賜顧曷勝歡迎資本　二百五十萬元公積　四十二萬元總行本埠寗波路九號電話中四五二三分行北四川路十五號電話北一一一五上海蘇州銀行資本五十萬元分設蘇滬兩行專辦　有奬、定期、活期、　　　軍人、婦女、工人、　　　養老、婚嫁、學費、　　　各種儲蓄兼營銀行一切業務凡津浦京綏膠濟隴海滬寗滬杭甬沿路各站均做跟單押滙如蒙賜顧竭誠歡迎詳章函索即寄經理洪少圃　協理陳筱舟　襄理張洪疇浙江興業銀行NationalCommercialBankLdt第一貨棧在英租界新閘橋路","家二十八日上午九時至十時半參觀各工廠十一時至十二時開演講會列席者聖約翰大學學生十二時半開交誼會列席者扶輪社社員下午四時開討論會於崑山路女青年會列席者即爲該會之幹事六時三刻至八時開演講會列席者南洋大學學生二十","家 二十八日 上午 九時 至 十時 半 參觀 各 工廠 十一時 至 十二時 開 演講會 列席 者 聖約翰 大學 學生 十二時 半開 交誼會 列席 者 扶輪社 社員 下午 四時 開 討論會 於 崑山 路 女青年會 列席 者 即 爲 該會 之 幹事 六時 三刻 至 八時 開 演講會 列席 者 南洋 大學 學生 二十",103,61,"19221117",1922,"1920","1919-1929"
"3","SPSP192211221701","shunpao","中華勸工銀行ＣhineselndustrialBankLtd電報掛號六九七七刊有詳細章程函索即寄營業要目●商業各種存欵　各種放款　各種滙欵　●儲蓄定期儲蓄　活期儲蓄　特别儲蓄電話中央六七一一　六七一二備有儲蓄盒任存户借用行址上海南京路Ｐ字十六號上海銀行本行專營商業銀行一切業務并辦理國外滙兌及各種儲蓄存欵如荷　賜顧曷勝歡迎資本　二百五十萬元公積　四十二萬元總行本埠寗波路九號電話中四五二三分行北四川路十五號電話北一一一五上海蘇州銀行資本五十萬元分設蘇滬兩行專辦　有奬、定期、活期、　　　軍人、婦女、工人、　　　養老、婚嫁、學費、　　　各種儲蓄兼營銀行一切業務凡津浦京綏膠濟隴海滬寗滬杭甬沿路各站均做跟單押滙如蒙賜顧竭誠歡迎詳章函索即寄經理洪少圃　協理陳筱舟　襄理張洪疇浙江興業銀行NationalCommercialBankLtd保管庫本行用最新避火建築法造成保庫内有美國名廠鋼製保管箱甲乙丙丁戊己六種專備　顧客儲藏貴重物品管理完密取費極廉欲知詳細規則者請　函示住址姓名即日寄奉經理室電話中央二六五○營業室電話中央二六一三　二六一四三金幣部電話中央七四一上海大戱院上海唯一之影戲院　北四川路虬江路口價目　日戲包廂七角樓廳四角正廳三角二廳一角夜戲包廂一元樓廳六角正廳四角二廳二角今晚第一次七點鐘開演二次九點一刻起大部勇武偵探長片　第十二十三集四大本　隠面人著名艶情片康登塔文傑作五大本　學習愛情隠面人首蒙黑紗服以寬博之衣面目不辨似屬女子然見其勇健矯捷則又不類女子噫奇矣此乃至劇最重要之疑問今晚所演爲最後八本中之四本此中機密漸漸表現欲去疑寳盍請早　臨加以康登塔文之學習愛情尤稱一時無雙之名片也虹口武昌路華商滬江影戲院乍浦路轉角十一月廿號至廿二號各界來函要求重演名劇　毒氣","LONDON,E.C.I.ENGLAND.電報掛號-：ＣＩＴＩＦＡＸ，ＦＩＮＳＱＵＡＲＥＬＯＮＤＯＮ扶輪社之新消息　　代盲人院建築之新屋·已行正式贈送禮　　大陸報云上海之扶輪社（RotaryClub）前爲安 ＦＩＮＳＱＵＡＲＥＬＯＮＤＯＮ扶輪社之新消息　　代盲人院建築之新屋·已行正式贈送禮　　大陸報云上海之扶輪社（RotaryClub）前爲安定盤路四號盲人院建築新工塲一所近已竣工由社長雷痕氏於星期日下午舉行正式","LONDON E C I ENGLAND 電報掛號 扶輪社 之新 消息 　 　 代 盲人 院 建築 之 新屋 已 行 正式 贈送 禮 　 　 大陸 報云 上海 之 扶輪社 RotaryClub 前 爲 安 扶輪社 之新 消息 　 　 代 盲人 院 建築 之 新屋 已 行 正式 贈送 禮 　 　 大陸 報云 上海 之 扶輪社 RotaryClub 前 爲 安定 盤路 四號 盲人 院 建築 新工 塲 一所 近 已 竣工 由 社長 雷痕 氏 於 星期日 下午 舉行 正式",207,80,"19221122",1922,"1920","1919-1929"
"4","SPSP192211241601","shunpao","臨池家注意賞鑒家注意●王虚舟篆書千字文此爲王虚舟墨寳之一杭州高氏藏本係以玉筋篆書千字文按千文字各不同作者極難學篆者臨慕之可收事半功培之效且此册藏者至爲珍秘故字跡完好本店用新法影印與原本絲毫不爽　一册　定價四角●顔魯公草書古柏行魯公草書流傳者僅祭姪稿爭坐位等數種然皆漫漶不堪此帖原爲海内珍本曩爲日人購去迨上年虎林黃韜盧少將遊日以重值購回本店借付影印以供同好字之大小與原本絲毫不爽至裝訂之精良猶其餘事　一大册　定價一元●姚鳳生楷書磚塔銘姚孟起眞書直入晉人之室爲有淸書家中之卓卓者此係磚塔銘墨跡原跋云此碑筆意與衛晉武公碑爲近而結體綿密初學熟習之於歐褚兩家均可得門而入矣學校可用作習字範本一册　　定價二角●當代名人眞蹟係集現代書家康南海張季直沈子培吳昌碩曾農髯鄭孝胥等十六人墨寳印成一册定價四角●五尺吳昌碩畫石堂幅此係吳昌碩所畫極凌贈之致用珂㼈牌精印每幅　大洋八角●六尺梁山舟七言聯女曰淸標岳立嵩衡峻雅量春浮渤澥寛　每對冷金八角　藏金七角　宣紙六角●四尺楊見山隸書屏此係臨漢碑四種楊見山晚年得意之作懸之座右　資模仿　每堂　定價一元●五尺淸道人四體屏淸道人書法名滿海内久爲世所珍賞此作眞草隸篆俱備而草字係法漢之章草尤奇古無晋唐人習氣　每堂定價一元六角●四尺張叔未横幅隸書時選讀我書五大字縣之書室最爲相宜杭州根石草堂藏　每幅定價四角●四尺張季直横幅係草書關尹子一則極筆酣墨舞之能事杭州根石草堂藏　每幅　定價四角以上十種照碼八折實洋外埠函購滙兌不通之處可用郵票代價九五折算寄費加一成半惟印花票外國郵票一槪不收用開設閘北鴻興坊●上海古今圖書店總發行●上海四馬路中啓新書局代發行分發行所　▲杭州古今圖書店　▲雲南中華書局▲蘇州振新書局　▲烟臺福裕東書局▲開封龍文書局　▲山西普新書社▲成都介文社　▲長沙羣益書社▲漢口東壁圖書社　▲各埠各大書坊新書六種第一便宜分期標賣●注意價目表中………●方知實在便宜名勝古蹟大觀●全書三十萬言　●皮面金裝一巨册本書編輯七年　増删五次　凡我國各地勝蹟搜羅無遺　出版以來　風行海内　刻今五版印成　又添入各處勝景甚多　較以前所印　尤爲完備　書中共有名勝古蹟三千二百四十處　均詳細考證古蹟之由來　及水陸路程　得此一書　可爲遊覽山水之指南　况大地山川　歷朝勝蹟　俱有實地攝影之插圖　凡一百二十八幅一編在手　雖足不出户　無異走遍天涯華佗神醫秘傳●全書古裝一册　●附有華陀眞像三年前本局在安徽收集古書　於亳縣姚侗伯君處得見姚君遠祖襄定公手抄華陀秘方二十卷按方施之　皆奏奇驗　鳥獸有病　亦可醫治姚君囑本局印刷千部　以資流傳　而救病苦爲濟世壽人起見　定價極低　不折不扣　現因所存無多　故亦分期標價　以期早日出淸　結束手續　此書售完　永不再印　購置一部　無病防病　有病自醫　實爲家庭必備之要書也新小說大觀●全書洋裝六册　●附送精美書盒合六種最新最趣之社會小說　併成一部　故名曰","芬·詹練一·孫蜚英等發起中華女子醫學校附設婦孺醫院已得滬上紳商贊助暫假江蘇全省中醫聯合會爲籌備處云扶輪社之宴會記　　大陸報云昨日上午十二時一刻扶輪社社員假座卡爾登飯店設宴邀請美國著名女伶勃勒特（Frawl 婦孺醫院已得滬上紳商贊助暫假江蘇全省中醫聯合會爲籌備處云扶輪社之宴會記　　大陸報云昨日上午十二時一刻扶輪社社員假座卡爾登飯店設宴邀請美國著名女伶勃勒特（Frawley　Bloˉod）及其全班演員弗樂萊（Mr","芬 詹 練 一 孫 蜚 英 等 發起 中華 女子 醫學 校 附設 婦孺 醫院 已得滬上 紳商 贊助 暫假 江蘇 全省 中醫 聯合會 爲 籌備處 云 扶輪社 之 宴會 記 　 　 大陸 報云 昨日 上午 十二時 一刻 扶輪社 社員 假座 卡爾登 飯店 設宴 邀請 美國 著名 女伶 勃勒特 Frawl 婦孺 醫院 已得滬上 紳商 贊助 暫假 江蘇 全省 中醫 聯合會 爲 籌備處 云 扶輪社 之 宴會 記 　 　 大陸 報云 昨日 上午 十二時 一刻 扶輪社 社員 假座 卡爾登 飯店 設宴 邀請 美國 著名 女伶 勃勒特 Frawley 　 Blo od 及其 全班 演員 弗樂萊 Mr",206,115,"19221124",1922,"1920","1919-1929"
"5","SPSP192306131801","shunpao","名女伶雷麥之小影　　雷麥女士爲近世電影界著名女伶之一生平傑作極多如「三剣客」","略歷如次　　費君爲美籍自幼生長蘇州在華對於公益事業極爲熱心歷任華洋義振會委員導淮會委員全城音樂會會長扶輪社董事上涨盲童學校總董聯太平洋會書記青年會　幹事美國大學同學會會長萬國拒土會執行委員美國商會慈善股委員","略 歷如次 　 　 費 君 爲 美籍 自幼 生長 蘇州 在 華 對於 公益事業 極爲 熱心 歷任 華洋 義振會 委員 導淮會 委員 全城 音樂會 會長 扶輪社 董事 上涨 盲童 學校 總 董聯 太平洋 會 書記 青年會 　 幹事 美國大學 同學會 會長 萬國 拒土會 執行 委員 美國商會 慈善 股 委員",103,63,"19230613",1923,"1920","1919-1929"
"6","SPSP192306271701","shunpao","本埠新聞三國貨髮髻飾品之創製","中華隊　練習偵探要務廿八日及卄九日　中華路小南門羣學會　專科師範學校　展覽會廿八日下午　聯華總會扶輪社常會廿八日下午三時　浦東　浦東中學　　畢業禮廿八日下午五時　梵王渡　約翰大學附屬中學　畢業禮廿九","中華隊 　 練習 偵探 要務 廿八日 及 卄 九日 　 中華路 小 南門 羣 學會 　 專科 師範學校 　 展覽會 廿八日 下午 　 聯華 總會 扶輪社 常會 廿八日 下午 三時 　 浦東 　 浦東 中學 　 　 畢業 禮 廿八日 下午 五時 　 梵 王 渡 　 約翰 大學 附屬中學 　 畢業 禮 廿九",99,51,"19230627",1923,"1920","1919-1929"
"7","SPSP192306271801","shunpao","觀「富人之妻」影片後之評論　　昨晚記者與友人鍾君擬偕往卡爾登觀「重見光明」至則已客滿即乘車往虬江路上海大影戲院時已九時十分幸未開幕余等遂入初演國外新聞次即開映愛情諷世影片「富人之妻」“Rich　Men＇s　Wives”此片計長七本劇中述一高等女學生名甘達文寳在校研究學業勤懇異常兼以天資聰穎畢業時成績卓著惜伊母親終日忙於酬酢於撫育子女之方一無所知此乃富家女子之通病也第一本演至女學生行畢業禮畢由學校返家急欲與家人問好一種活潑狀况見之可愛入室後伊父適在會客母亦方事裝飾面上塗以花粉數小時内不能談笑因而不得立刻入見心中又覺不樂此處表情尤佳後甘姑娘居家日久奢華之風漸漸受染一日有名馬比賽會甘姑娘亦與焉因屢得優勝頗爲富少年約翰所注目而二人之愛情於此發軔白首之約因亦訂定結婚後生一子名笳甘雇乳母撫育約翰夫人則時出歌舞與輕薄少年爲伴一日某少年向之求歡夫人不允於是少年强抱女身向之接吻適爲約翰所見以夫人如此行爲定欲離婚女亦無法挽回即出門他往離别時忿怒不堪女旣至母家謂其母曰余今已覺悟以前之種種實母親所賜言時鬱鬱不樂并謂其妹曰余希望妹能不染惡習將來定有極大快樂二姊妹相抱痛苦令人鼻酸不久即黯然而别惟斯時愛子之情尤未能釋忽而思及炎暑時與約翰及笳甘在草地上之家庭樂趣而笳甘背母後亦時時紀念遺母雖遊戲睡眠之時仍不忍忘可見母子愛情出於天性一日因笳甘略有微恙約翰家待婢得悉後即奔吿其母女即與之設法進内視察是日因約翰宴客歸時頗晏故特許之斯時母子相見情愛更深後因約翰宴客之所中有一池名曰愛泉有女客提議以約翰之子笳甘作爲愛神約翰許之女客即登樓强抱笳甘其母被侍婢勸阻始不與爭無如笳甘離母後放聲大哭不願與彼等同處呼母不已并叱其父爲惡人女客抱兒至池邊去衣置兒於水中其母聞哭聲急下樓謂兒爲我所有攖而懷抱之并回顧約翰曰汝乃非愛兒也又指衆客爲淫亂之輩引人爲惡旋即抱兒登樓衆客聞言後咸驚訝不已斯時約翰恍然覺悟拒絕衆客登樓即入室與夫人謝罪此時夫婦互相原諒愛情較前更深昔者夫人被逐後之追想今乃又成爲事實矣觀斯片後第一可令人醒悟處即爲奢侈之害人甘達文寳受有高等敎育尚不能免遑論其他又約翰夫婦初時愛情極篤嗣因女用情不專卒致各自分離尤足爲一般浪情女子戒約翰别妻後縱情所欲日漸荒蕩即女子方面亦飄泊不知所往心緒紊亂志氣頓消足證離婚之害可爲一般實行離婚者戒末後荒淫之婦女仍爲覺悟者所拒絕受辱而退樂極生悲斯可爲一般專事游蕩之婦女戒此片立意極佳惟有一二幕光線欠足其餘細情亦頗可觀云","中華隊　練習偵探要務廿八日及卄九日　中華路小南門羣學會　專科師範學校　展覽會廿八日下午　聯華總會扶輪社常會廿八日下午三時　浦東　浦東中學　　畢業禮廿八日下午五時　梵王渡　約翰大學附屬中學　畢業禮廿九","中華隊 　 練習 偵探 要務 廿八日 及 卄 九日 　 中華路 小 南門 羣 學會 　 專科 師範學校 　 展覽會 廿八日 下午 　 聯華 總會 扶輪社 常會 廿八日 下午 三時 　 浦東 　 浦東 中學 　 　 畢業 禮 廿八日 下午 五時 　 梵 王 渡 　 約翰 大學 附屬中學 　 畢業 禮 廿九",99,51,"19230627",1923,"1920","1919-1929"
"8","SPSP192306281801","shunpao","「多情英雄」影片之述評　　「多情英雄」一劇之所以擅勝者有三特點一結搆精密不落常窠二人敷稀少表情繁多三景色天然引人美感此劇自台至終祗爲三人之事餘者僅屬備員而巳其間赴湯蹈火危險非常以愛情而兼冒險之片僅以三人出之自此劇外未之見也　　此劇節係述加拿大西部深山中之一段艷史其地萬山叢疊交通阻塞與外界相隔絶故人性懭悍泯不畏法一日有少年名温東者路經此處遭人訛詐適爲同寓之少年史蒂所見起而相助得解此難於是二人締爲深交遂結屋山中以獵度活其時温東有一好友名番元者年巳耆邁居於山之北偏因犯罪圖遁携其愛女媚麗駕舟而逸水湍流急幸不覆没得達温所後番元因傷重死臨終時托孤於温囑渠保其女送歸伊姊家中時巳嚴冬氣候奇寒積雪滿谷難以行走女遂留居温處料理雜務媚麗天眞爛漫稚氣未脫不知情愛爲何物惟史温二人對此佳麗難免心動爭各獻其愛情於媚麗之前以此因愛生疑因疑生妒二人時生衝突幾至用武幸媚麗週旋於二人之間無所偏袒且時爲勸解得以隱忍不發然面和心違大非昔比蓋由契友面爲情敵矣時冬盡春回萬木向榮致發生野燒一時火逞風勢頃刻蔓延至數十方里逼近温所三人倉皇出走在烈火中狂竄而奔温東奮不顧身抱女冒火而出幾遭焚斃惟史於中途爲烟所迷暈絶倒地勢將垂危而温不念前慊重入火光烟氣之中挾之而出史感其再生之德前慊盡失重爲良友女亦佩其英雄願委身事之遂成嘉耦焉　　綜觀此劇情節曲折勝於一般尋常愛情片多多表情亦甚細膩史温二人雖處同一地位而温於愛慕中含沉着之槪史則略帶輕浮女郎之對二人雖亦不分軒輊然於温甚露尊敬及誠摯之態於史則微表輕夷及冷淡之意於一舉一動中顯然分出至爲明晰非易事也其中背景多係實攝有萬木森森之叢林有皎潔皚皚之積雪又有朝噋出林·深山飄雪·幾幕純是天然景色美艷悅自令人油然生美術之感至於急水烈火兩幕最爲奇突當媚麗父母駕舟逋逃一段有數百尺之瀑布一瀉而下以一葉小舟起伏於驚波駭浪之中水勢旋急其捷如飛觀之心悸森林野燒一場一時火熾風盛如摧枯拉朽蔓延極廣袞袞炎燄冒烟而出數十里之森林頓成焦土山中之虎豹狼四出奔竄五光十色令人目眩開未有之奇觀此段攝收得法並施彩色儼然逼眞即熱血鴛鴦中之火景亦無以過之此片於去年九十月間曾出映於愛普廬影戲院田轟動一時今重來滬上故一述之","華路小南門羣學會專科師範學校展覽會　　廿八日及廿九日閘北旱橋北堍聯義善會講演會　　廿八日下午聯華總會扶輪社常會　　廿八日下午三時浦東浦東中學畢業禮　　廿八日下午五時梵王渡約翰大學附屬中學畢業禮　　廿九日上午","華路 小 南門 羣 學會 專科 師範學校 展覽會 　 　 廿八日 及 廿九日 閘北 旱橋 北 堍 聯義善會 講演會 　 　 廿八日 下午 聯華 總會 扶輪社 常會 　 　 廿八日 下午 三時 浦東 浦東 中學畢業 禮 　 　 廿八日 下午 五時 梵 王渡 約翰 大學 附屬中學 畢業 禮 　 　 廿九日 上午",103,57,"19230628",1923,"1920","1919-1929"
"9","SPSP192307051812","shunpao","集會表","陽歷本月時期地點召集者事由　　五日正午聯華總會扶輪社當會五日阿拉白斯脫路立羣女學休業禮五日至八日四川路靑年會中國工程學會第一次年會五日下午四天后宮總商會","陽歷 本月 時期 地點 召集 者 事由 　 　 五日 正午 聯華 總會 扶輪社 當會 五日 阿拉 白 斯脫 路立 羣 女學 休業 禮 五日 至 八日 四川 路 靑 年 會 中國 工程 學會 第一次 年會 五日 下午 四天 后宮 總商會",76,48,"19230705",1923,"1920","1919-1929"
"10","SPSP192307121801","shunpao","美國影戲明星之初次得俸法（二）　　勞勃脫氏ＴｂｅｏｄｏｒｅＲｏｂｅｒｔ勞勃脫氏年十歲時於一夜宴中述一故事名『赫萊脫在橋上』ＨｏｒａｔｉｂｓｏｎＴｂｅＢｒｉｄｇｅ畢後主人給以二元半之金幣一枚勞受而不忍用之當即連之於表鏈上作爲裝飾品直至一二年前彼之入欵較豐於前始忍離之云　　墨萊諾ＡｎｔａｎｉｏＭｏｒｅｎｏ墨萊諾氏","旣不雅觀又易損汚衣服實改良座位第一步須注意者也（待續）十二日愛而近路羣益女學畢業禮十二日午刻聯華總會扶輪社常會十二日下午二時安徽駐　勞工總會安徽駐滬勞工總會評議會十二日下午二時日商會聯合會日商聯合會臨時會十","旣 不雅觀 又 易損 汚 衣服 實 改良 座位 第一步 須 注意 者也 待續 十二日 愛而 近路 羣 益 女學 畢業 禮 十二日 午刻 聯華 總會 扶輪社 常會 十二日 下午 二時 安徽 駐 　 勞工 總會 安徽 駐滬 勞工 總會 評議會 十二日 下午 二 時日 商會 聯合會 日商 聯合會 臨時 會十",103,65,"19230712",1923,"1920","1919-1929"
